Date,Visits,VisitTime,TotalTime,Game,Advertising
Friday,0,0,0,Police,Yes
Saturday,1,0.76,0.76,Police,Yes
Sunday,0,0,0,Police,Yes
Monday,0,0,0,Police,No
Tuesday,0,0,0,Police,No
Wednesday,0,0,0,Police,No
Thursday,0,0,0,Police,No
Friday,0,0,0,Police,No
Saturday,0,0,0,Police,No
Sunday,0,0,0,Police,No
Monday,6,1.33,7.95,Police,Yes
Tuesday,5,2.98,14.9,Police,Yes
Wednesday,0,0,0,Police,Yes
Thursday,7,2.4,16.83,Police,Yes
Friday,0,0,0,Police,Yes
Saturday,0,0,0,Police,Yes
Sunday,1,0.82,0.82,Police,Yes
Monday,8,1.93,15.45,Police,Yes
Tuesday,3,1.33,3.99,Police,No
Wednesday,0,0,0,Police,No
Thursday,0,0,0,Police,No
Friday,0,0,0,Police,No
Friday,1,1.68,1.68,Theif,Yes
Saturday,1,0.67,0.67,Theif,Yes
Sunday,0,0,0,Theif,Yes
Monday,1,1.16,1.16,Theif,No
Tuesday,0,0,0,Theif,No
Wednesday,1,2.88,2.88,Theif,No
Thursday,0,0,0,Theif,No
Friday,0,0,0,Theif,No
Saturday,0,0,0,Theif,No
Sunday,0,0,0,Theif,No
Monday,8,1,7.97,Theif,Yes
Tuesday,3,1.41,4.22,Theif,Yes
Wednesday,0,0,0,Theif,Yes
Thursday,10,2.85,28.45,Theif,Yes
Friday,0,0,0,Theif,Yes
Saturday,1,4.44,4.44,Theif,Yes
Sunday,1,1.23,1.23,Theif,Yes
Monday,6,2.15,12.89,Theif,Yes
Tuesday,0,0,0,Theif,No
Wednesday,0,0,0,Theif,No
Thursday,0,0,0,Theif,No
Friday,0,0,0,Theif,No
